公司中文名称,年份,"流动资产周转率
[报告期] 2008年报
[单位] 次","应收账款周转率
[报告期] 2008年报
[单位] 次","财务费用
[报告期] 2008年报
[报表类型] 合并报表
[单位] 元","主营业务收入
[报告期] 2008年报
[报表类型] 合并报表
[单位] 元",产权比率,"流动比率
[报告期] 2008年报","速动比率
[报告期] 2008年报","现金比率
[报告期] 2008年报","经营活动现金净流量(TTM)
[报告期] 2008年报
[单位] 元","流动负债合计
[报告期] 2008年报
[报表类型] 合并报表
[单位] 元","资产负债率
[报告期] 2008年报
[单位] %","利润总额(TTM)
[报告期] 2008年报
[单位] 元","非流动负债合计
[报告期] 2008年报
[报表类型] 合并报表
[单位] 元","所有者权益合计
[报告期] 2008年报
[报表类型] 合并报表
[单位] 元","利息支出(TTM)
[报告期] 2008年报
[单位] 元","长期资本负债率
[报告期] 2008年报
[单位] %","现金流量利息保障倍数
[报告期] 2008年报","负债合计
[报告期] 2008年报
[报表类型] 合并报表
[单位] 元","利润总额/营业收入(TTM)
[报告期] 2008年报
[单位] %","总资产报酬率ROA
[报告期] 2008年报
[单位] %","主营业务成本
[报告期] 2008年报
[报表类型] 合并报表
[单位] 元","税金及附加
[报告期] 2008年报
[报表类型] 合并报表
[单位] 元","净资产收益率ROE(摊薄)
[报告期] 2008年报
[单位] %","存货周转率
[报告期] 2008年报
[单位] 次","营运资本周转率
[报告期] 2008年报
[单位] 次","非流动资产周转率
[报告期] 2008年报
[单位] 次","总资产周转率
[报告期] 2008年报
[单位] 次","成本费用利润率
[报告期] 2008年报
[单位] %","营业收入(同比增长率)
[报告期] 2008年报
[单位] %","总资产(同比增长率)
[报告期] 2008年报
[单位] %","大股东持股比例
[日期] 2009-03-01
[大股东排名] 第1名
[单位] 1%","无形资产
[报告期] 2008年报
[报表类型] 合并报表
[单位] 元","资产总计
[报告期] 2008年报
[报表类型] 合并报表
[单位] 元","净利润(TTM)
[报告期] 2008年报
[单位] 元"
华菱星马汽车(集团)股份有限公司,2013,1.61,8.91,60752425.91,6560504695,0.99,1.12,0.83,0.44,465858904.3,3927738514,49.78,298613587.5,251483333.3,4215549870,53003089.27,5.77,6.52,4179221847,4.55,4.59,5642127905,21260219.76,6.04,4.37,22.28,1.83,0.86,3.99,46.59,21.38,10.37,624577071.7,8394771717,249511732.5
天津汽车模具股份有限公司,2013,0.69,3.83,9133479.66,1166543877,0.92,1.33,0.59,0.33,99420548.58,1351158678,47.83,138440172,71725652.88,1552021330,2825354.65,4.45,11.38,1422884331,11.87,5.08,847840850,9125819.01,7.96,0.98,2.4,1.08,0.42,12.13,30.48,14.96,7.8,54822755.86,2974905661,122406322.8
无锡隆盛科技股份有限公司,2013,1.02,3.46,2316299.01,93524848.92,0.57,2.19,1.56,0.82,29797455.37,41239716.77,36.4,21999757.96,12664740.92,94167275.02,,11.85,,53904457.69,23.52,17.43,54690903.92,654366.76,19.97,2.51,1.49,1.97,0.67,25.06,-6.86,13.12,,21127451.3,148071732.7,18809641.26
浙江兆丰机电股份有限公司,2013,0.8,2.91,2304784.12,277903062.3,0.79,1.6,1.49,0.69,89259588.52,287745953.5,44.08,61129075.9,10584825.58,378428040.1,,2.88,,298330779.1,22,10.88,164981371.1,2318544.48,14.5,5.59,2.18,1.18,0.48,23.98,0.56,38.33,,16980687.41,676758819.1,51381623.98
上海凯众材料科技股份有限公司,2013,0.91,3.79,-2258057.94,227858751,0.12,6.98,5.75,3.28,35424600.98,36027033.47,10.89,65894488.67,,294792706.1,-2178314.12,,,36027033.47,28.92,20.17,131101429.1,883221.15,19.31,3.1,1.14,3.44,0.72,34.33,20.63,9.97,,15075043.75,330819739.6,56916904.4
湖南机油泵股份有限公司,2013,1.26,4.05,18151009.32,451954232.3,1.24,1.39,0.95,0.43,78549364.1,282004059.6,55.37,50195785.94,85968344.94,296577430.3,17216853.86,22.47,4.51,367972404.6,11.11,10.84,312639353.8,3063146.15,14.49,2.61,4.95,1.71,0.73,10.75,27.3,14.72,,44565968.18,664549834.8,42965597.72
江苏新泉汽车饰件股份有限公司,2013,1.25,3.25,17422570.04,695241668.7,1.56,1.01,0.57,0.15,17687489.27,597214415.2,60.97,48844242.04,15520481.27,392313504,,3.81,,612734896.5,7.03,7.02,488961809.1,2068527.31,9.86,1.95,51.57,1.78,0.74,6.09,26.34,13.68,,62919457.31,1005048400,38663727.69
山东金麒麟股份有限公司,2013,1.16,5.6,51052085.74,964034148.8,1.8,1.34,1.03,0.76,229167627.4,698179530.4,64.33,170967462.4,391306077.8,604148270.8,,39.41,,1089485608,17.73,14.77,617698067.7,9472166.55,22.58,3.03,4.74,1.44,0.64,16.95,13.22,29.05,,105733458.5,1693633879,135647352.1
南京奥联汽车电子电器股份有限公司,2013,1.24,3.16,8163105.35,203615825.2,1.64,1.06,0.78,0.33,9537591.02,169444453.4,62.15,24939722.46,7543585.09,107770776.8,6486805.03,6.54,1.46,176988038.5,12.25,11.83,128055269.9,1942265.72,20.41,2.8,11.76,2.02,0.77,12.42,17.59,15.58,,18543313.29,284758815.3,21991143.89
杭州雷迪克节能科技股份有限公司,2013,1.07,4.82,11698128.65,304669805,1.71,1.13,0.84,0.26,74065356.94,261642979.6,63.09,39079391.04,421033.97,153287749.5,,0.27,,262064013.6,12.83,12.88,211908297.9,1785137.67,22.02,2.8,13.84,2.79,0.77,12.66,23.52,11.39,,25959100.78,415351763.1,33760207.83
成都西菱动力科技股份有限公司,2013,1.17,4.5,12831436.12,372141593,1.05,0.95,0.57,0.29,37083313.01,336014921,51.13,48421104.38,15677306.82,336125505,,4.46,,351692227.8,13.01,8.91,262651473.8,2643802.06,12.55,2.07,,,0.54,12.99,,,,43390661.35,687817732.8,42182433.14
无锡贝斯特精机股份有限公司,2013,1.44,3.45,2431599.78,375751047.2,0.51,1.66,1.31,0.44,71332255.73,186141479,33.75,75207663.59,39298203.44,442481961.2,-69911.3,8.17,572.7,225439682.5,20.02,12.49,230579518.7,3308975.12,14.75,4.14,3.17,1.1,0.62,21.94,24.79,24.75,,65966976.38,667921643.7,65178534.53
成都豪能科技股份有限公司,2013,1.28,3.32,5634706.01,484220699.4,0.38,2.28,1.66,0.54,79011052.62,172446026.6,27.56,125201133.7,1903786.6,458164854.4,,0.44,,174349813.2,25.86,21.6,282644849.2,4102284.61,24.37,2.92,2.11,2.14,0.8,29.79,23.84,9.28,,17890222.58,632514667.7,106635614.8
浙江仙通橡塑股份有限公司,2013,1.5,3.14,4509679.29,322602089.8,1.01,1.22,0.94,0.3,19872733.43,191423658.6,50.18,52411553.13,35934800,225760414,4428543.78,13.73,4.24,227358458.6,16.25,13.66,209379472.4,2339425.62,20.21,3.93,5.8,1.61,0.78,17.16,9.62,19.52,,16711460.32,453118872.6,45635770.09
苏州金鸿顺汽车部件股份有限公司,2013,1.54,3.93,19575493.76,1060677473,1.15,1.28,0.87,0.16,144920010.5,540387691,53.38,161096373.1,5441971.07,476654898.2,,1.13,,545829662.1,15.19,17.93,788748845.4,7394894.03,28.87,3.23,6.57,3.32,1.05,15.22,16.76,2.95,,61778799.54,1022484560,137620638.7
海南钧达汽车饰件股份有限公司,2013,1.83,5.49,9731647.94,722037137.6,1.35,0.89,0.66,0.25,69719093.28,565848988.6,57.36,70568746.29,2506960.03,422517648.9,,0.62,,568355948.6,9.77,9.55,535217400.3,3395828.78,13.56,4.74,,1.61,0.86,8.6,21.13,43.3,,55695119.4,990873597.5,55643720.98
爱柯迪股份有限公司,2013,1.32,4.83,76030.88,1118879042,0.54,3.12,2.46,0.88,296034647,272509205.2,34.86,379994722.4,234471044.5,947421160.2,-1785943.67,22.31,2112.15,506980249.7,33.96,26,625167162.1,11472990.25,28.43,3.52,,,0.77,38.46,,,,67034106.03,1454401410,284880245.2
浙江今飞凯达轮毂股份有限公司,2013,1.65,7.31,99309298.12,1973747901,5.99,0.61,0.46,0.26,108564085.9,2400887179,85.7,73043769.18,79959867.17,414008592.9,,16.68,,2480847046,3.7,6.76,1638933642,6461495.89,15.34,4.9,,1.46,0.77,3.17,15.3,31.35,,113269838,2894855639,60690828.35
重庆蓝黛动力传动机械股份有限公司,2013,1.51,4.66,18881581.51,655384017,0.93,1.2,0.74,0.31,63729568.75,362170301,48.21,65568367.94,124296885,522678036.5,18755575.56,19.78,3.3,486467186,10,8.43,526880387,2459511.21,10.7,3.29,12.94,1.16,0.66,9.33,-6.17,1.89,,90638204.43,1009145222,55241648.64
常熟市汽车饰件股份有限公司,2013,1.29,4.35,18659622.81,851852273.8,0.76,0.93,0.76,0.36,75266253.01,735558300.5,43.31,196307738.3,49689904.34,1027710231,16529871.97,4.61,3.72,785248204.8,23.04,12.46,589452321.1,8615044.56,17.44,4.71,,0.81,0.5,23.62,3.75,13.09,,143942909.2,1812958436,179271656.5
江苏日盈电子股份有限公司,2013,1.77,5.33,7195247.62,230378603.1,0.8,1.15,0.9,0.49,25679553.63,150523327.3,44.51,43868445.05,1500000,189554795.2,,0.79,,152023327.3,19.04,17.66,131825754.9,1880396.61,19.49,3.98,,1.45,0.8,20.17,16.07,44.21,,30653932.78,341578122.5,36944798.55
重庆小康工业集团股份有限公司,2013,1.61,70.98,73235671.35,8287399530,3.12,0.75,0.62,0.57,106400245.9,7158631671,75.7,485279375.5,540724802.3,2470889660,57085857.47,21.92,1,7699356473,5.86,5.55,6538098222,152278346.4,18.99,7.88,,1.79,0.85,5.11,4.88,8.57,,1019356794,10170246133,394851186.1
广东迪生力汽配股份有限公司,2013,1.44,4.93,12648520.95,486876484.6,1.2,1.21,0.29,0.12,24234751.68,329407283.9,54.45,13645178.21,2046526.89,277276535.6,,0.84,,331453810.8,2.8,4.82,384316092.1,2827907.12,9.97,1.9,7.23,2.35,0.89,5.1,-21.55,26.42,,29471770.15,608730346.3,25067785.97
上海岱美汽车内饰件股份有限公司,2013,1.8,5.63,34548704.46,1712586414,0.96,1.63,0.93,0.3,243666177.6,646669980.6,49.04,259336003.7,158948356.9,837069326.7,,16.06,,805618337.4,15.14,19.49,1180099908,4285049.02,23.57,2.77,4.95,3.09,1.14,13.13,22.32,19.7,,142720042.8,1642687664,194891433.7
上海保隆汽车科技股份有限公司,2013,1.77,6.38,25530310.32,1062579510,1.29,1.61,0.84,0.3,36100350.03,405220628.3,56.24,70997675.5,184511442.6,458950305.9,,31.75,,589732070.9,6.68,9.97,718381370.4,3961494.26,7.89,2.43,5.76,2.89,1.1,4.75,12.66,18.01,,34862483.62,1048682377,47350549.74
江苏奥力威传感高科股份有限公司,2013,1.86,7.65,551550.87,394554258.9,0.5,2.48,1.74,0.71,39893879.56,93999802.2,33.31,60426742.07,9051247.38,206324464.8,386855.34,4.31,44.28,103051049.6,15.32,22.08,298639209.7,1621817.64,25.37,4.53,3.15,6.21,1.43,15.45,18.64,28.18,,7648295.11,309375514.3,51907052.11
惠州市德赛西威汽车电子股份有限公司,2013,1.68,4.51,5830600,1776144100,2.02,1.17,0.76,0.31,161733500,900593600,66.88,104135600,78336000,484802800,,13.86,,978929600,5.86,7.51,1328701400,6196100,20.68,3.58,,,1.21,5.92,,,,47870100,1463732400,98303900
华达汽车科技股份有限公司,2013,2.2,9.69,7600263.67,2063100277,1.2,1.3,0.68,0.27,358368553.4,801162732.3,54.59,230283400.6,2000000,668130343.2,6892115.27,0.3,48.67,803162732.3,11.16,18.51,1630066717,6270771.2,29.09,3.42,7.42,6.03,1.61,10.68,35.68,34.81,,55268953.08,1471293075,194384162.3
浙江正裕工业股份有限公司,2013,1.91,4.26,8078230.37,497274499.1,0.8,1.23,0.96,0.37,102115498.4,224248645.1,44.5,66712481.09,11149522.39,293569887,3303445.92,3.66,27.14,235398167.5,13.42,13.46,356689972.3,2429997.39,20.35,6.76,19.36,1.91,0.96,13.64,-4.26,3.38,,64798817.74,528968054.5,59734911.33
浙江铁流离合器股份有限公司,2013,2.33,10.97,7720809.81,825567113.3,0.69,1.68,1.17,0.77,165736250.3,222349518.5,40.83,140537407.9,4825335.09,329249418.1,,1.44,,227174853.6,17.02,28.06,560498356.9,5406180.47,35.58,4.54,5.67,4.76,1.56,17.21,8.93,11.19,,46955934.44,556424271.6,117160721.3
宁波圣龙汽车动力系统股份有限公司,2013,2.71,7.03,17300035.27,700275629,2.29,0.63,0.44,0.14,52267477.8,471061695.8,69.58,50672629.95,24992718.2,216860492.9,17271898.97,10.81,2.98,496054414,7.24,10.58,537160444.9,2712980.88,20.69,6.8,,1.83,1.09,6.44,11.91,24.81,,57845726.6,712914906.9,42194938.34
万通智控科技股份有限公司,2013,2.14,6.27,1417858.52,227610843.5,0.6,1.89,1.4,0.56,31028111.48,59564147.11,37.68,15721948.66,3970937.08,105066167.1,,3.66,,63535084.19,6.91,11.13,184868503.6,719945.04,12.42,6.74,4.59,4.79,1.48,6.09,2.73,20.97,,25245717.95,168601251.3,12992883.3
合肥常青机械股份有限公司,2013,2.74,13.45,39907823.48,1321616089,1.62,0.8,0.57,0.29,-39936067.53,714425954.2,61.88,147893513.8,22773412.13,454086509.9,,4.78,,737199366.3,11.19,18.07,984677395.9,7247082.93,26.97,6.19,,2.37,1.27,10.5,12.83,34.27,,100414914.9,1191285876,122486190.3
重庆秦安机电股份有限公司,2014,1.53,7.27,25634528.6,1033151991,0.88,0.84,0.52,0.27,163256394.5,869895627,46.91,246761571.9,,984670199,25204383.73,,6.18,869895627,23.88,16.74,683814532.3,4971428.62,21.32,2.82,,1.09,0.64,26.75,7.78,32.96,91.15,34434325.15,1854565826,209884957.9
重庆小康工业集团股份有限公司,2014,1.68,60.67,79379997.88,9418078375,3.02,0.78,0.67,0.62,396283875.1,7553707238,75.11,416372165.9,685131786.8,2729847405,77308113.05,24.21,3.49,8238839025,4.42,4.67,7523390380,202474951.1,14.01,8.81,,1.9,0.89,3.79,13.64,7.85,,1391380445,10968686430,336411637.5
上海汽车集团股份有限公司,2014,2.69,31.38,-164598681.8,6.27E+11,1.24,1.19,0.99,0.6,23283810974,2.00E+11,55.41,42688795193,29940085636,1.85E+11,-290731723,15.96,34.79,2.30E+11,6.78,10.75,5.49E+11,3757210874,17.74,15.76,15.19,3.95,1.6,6.29,11.25,11.03,74.3,6477803607,4.15E+11,38250773022
宁波拓普集团股份有限公司,2014,2.22,5.48,3247157.71,2736861661,0.69,1.25,0.73,0.15,458807959.8,1036707024,40.86,464316502.3,,1500271832,2052663.84,,190.63,1036707024,16.97,20.03,1929117717,13478536.7,27.04,3.93,7.05,2.5,1.18,17.39,18.54,19.69,92,121407532.6,2536978857,399752784.2
桂林福达股份有限公司,2014,1.09,3.51,85117558.43,1201556235,1.87,0.77,0.57,0.24,148956408.9,1464497905,65.19,124680737.4,449115275.5,1021916507,82081971.36,30.53,1.73,1913613180,10.38,7.28,854038900.8,3627840.04,10.7,3.1,,0.69,0.42,9.95,-2.25,6.83,77.97,117077379.8,2935529687,109296198.5
东风电子科技股份有限公司,2014,2.41,5.52,18342678.25,4901614600,1.94,0.94,0.8,0.36,362085170.3,2755123158,65.93,455246128.8,42499379.6,1445670211,17086065.88,4.12,15.09,2797622538,9.29,13.73,3889961686,22520201.09,20.52,11.69,,3.49,1.42,8.27,59,60.93,65,145758532,4243292750,381552353.6
中国重汽集团济南卡车股份有限公司,2014,1.75,8.14,131613815.6,23865956537,2.4,1.34,1.09,0.75,47332552.27,10642433232,70.55,789858253.3,1136823872,4916362743,130153870,20.51,0.22,11779257104,3.31,5.67,21516523560,78566146.57,9.79,6.68,7.19,9.17,1.47,2.5,11.25,6.01,63.78,396366776,16695619847,574167487.7
中国汽车工程研究院股份有限公司,2014,0.68,6.65,-36328121.72,1568891927,0.16,5.38,4.98,2.9,86113466.71,436016991.1,13.74,494742540.2,135015507.6,3586181389,-36630881.52,3.68,625.25,571032498.7,31.53,11.27,1134729696,6090816.95,11.71,6.45,0.86,0.9,0.39,32.36,4.58,4.7,63.69,215816953.7,4157213887,412797676.7
广州汽车集团股份有限公司,2014,0.84,21.47,303302531,22375933918,0.73,1.33,1.2,0.92,1104781789,20245434854,42.05,3053592870,5957699577,36115226980,266048805,14.43,1.57,26203134431,13.65,5.53,18958992801,784427567,9.02,8.07,2.95,0.67,0.37,12.73,18.87,7.84,57.58,3490621790,62318361411,2927498481
上海联明机械股份有限公司,2014,1.98,7.24,2617573.67,527836432.8,0.29,2.15,1.37,0.72,53117143.76,154263655.4,22.57,88280996.29,11815649.44,569766713.5,2585215.86,2.03,15.42,166079304.9,16.73,14.98,395260004.8,2716021.55,11.63,4.16,4.31,1.55,0.87,15.15,30.33,54.04,52.5,71435591.58,735846018.4,66277267.23
华域汽车系统股份有限公司,2014,2.11,6.57,80520444.52,73972592347,1.22,1.29,1.15,0.64,6094069740,28520121702,54.91,6981941387,6204070051,28517381794,48013356.21,20.8,19.37,34724191752,9.44,11.96,62556989488,216158708.2,18.87,16.07,8.4,3.13,1.26,8.89,6.05,15.56,60.1,1674000396,63241573546,6195514212
东风汽车股份有限公司,2014,1.31,22.08,-48399702.48,17471251823,1.46,1.18,1.03,0.87,-328339341.1,10964663015,59.3,196325740.7,562110695.5,7912478968,-38544000.7,8.45,-5.31,11526773710,1.12,0.8,15005195612,338332529.7,2.31,8.65,7.36,2.68,0.88,1.02,-9.5,-3.73,60.1,697719376.4,19439252678,176244343.4
华懋(厦门)新材料科技股份有限公司,2014,0.94,4.02,4337.12,531122158.1,0.22,4.33,4.04,2.4,150090270.8,186170081.5,17.72,138518269.5,12567082.51,922518784.8,-215241.31,1.34,38.24,198737164,26.08,16.15,327512687.2,3836974.96,12.85,6.3,1.4,1.81,0.62,30.7,33.99,89.62,60.38,27328415.6,1121255949,118505866.1
江苏奥力威传感高科股份有限公司,2014,1.81,6.99,-59488.07,461547375.7,0.35,3.2,2.34,1.13,52002833.65,86321887.9,25.7,85511352.43,8116247.38,273059978.8,-310028.62,2.98,194.14,94438135.28,18.53,25.18,332124845,2532878.53,26.14,4.6,2.8,5.52,1.36,19.44,16.98,18.79,,8098110.16,367498114.1,72735514.04
长城汽车股份有限公司,2014,1.89,90.29,-129380918.1,62590772605,0.83,1.35,1.22,1.02,6095784407,26144697043,45.36,9640075628,1682108980,33518446101,-85681420.13,4.79,493.16,27826806022,15.4,16.77,45251761068,2281607011,24.04,14.52,7.21,2.63,1.1,15.76,10.23,16.62,56.04,2812510619,61345252123,8041196445
哈尔滨东安汽车动力股份有限公司,2014,0.76,2.34,7441002.32,743204362.5,0.66,1.13,1,0.67,-87493641.91,818236939.3,39.78,32430345.27,321174987.3,1724886651,6897768.82,15.7,-9.53,1139411927,4.36,1.37,699013383.7,2156380.11,1.88,7.66,6.19,0.39,0.26,3.63,-13.12,-1.1,54.51,6126200,2864298578,32430345.27
浙江万安科技股份有限公司,2014,1.17,5.56,22054826.85,1322290056,1.4,1.09,0.8,0.55,84310651.81,1035345056,58.28,91702618.13,34339119.12,765850754.7,21690409.02,4.45,3.2,1069684175,6.94,6.2,987469986.7,5009542.48,10.14,3.57,21.05,1.88,0.72,6.12,3.05,0.6,53.18,147291839.9,1835534929,74930709.42
一汽轿车股份有限公司,2014,2.98,587.19,107269501.9,33857241558,1.4,0.96,0.61,0.58,291061292.7,11700973278,58.41,68735947.3,516397485.4,8697515317,76020725.18,5.62,3.04,12217370764,0.2,0.69,26604916205,1668770727,1.73,7.79,,3.51,1.61,0.37,14.09,-0.81,53.03,1210168749,20914886080,118850001.7
重庆蓝黛动力传动机械股份有限公司,2014,1.56,3.95,21696358.24,780694115,0.96,1.48,1.07,0.34,-11979213.48,385811675,48.92,98013390.99,184302208.3,595336498.3,16943079.99,24.29,-0.69,570113883.3,12.55,10.57,594284587.8,3967416.08,14.18,3.68,6.11,1.33,0.72,12.3,19.12,15.49,,87886804.62,1165450382,83659471.81
浙江世宝股份有限公司,2014,0.77,2.67,18628701.3,811241906.1,0.46,2.3,1.97,1.4,88725582.8,620885331.8,31.36,42157890.98,38071478.63,1442111078,15714459.92,2.61,5.44,658956810.5,5.2,3.39,593984877.4,4414843.67,3.05,3.1,1.64,1.24,0.48,4.76,20.26,59.88,52.36,123778255.5,2101067888,36478310.91
江苏云意电气股份有限公司,2014,0.5,3.52,-10490930.81,430698947.6,0.16,6.12,5.23,2.52,66144733.79,141202800.5,13.63,93341500.24,23158000,1041632752,-10747904.9,2.38,10583.16,164360800.5,21.67,7.1,298191990.8,2370623.32,8.64,2.64,0.59,1.44,0.37,23.36,-0.78,7.52,52.13,11339271.07,1205993552,81167069.46
万向钱潮股份有限公司,2014,1.45,5.76,176677382.5,9828875657,1.73,1.35,1.06,0.72,1358313611,5801209995,63.38,887922933.5,1743206981,4358743020,172835886,30.46,6.44,7544416977,9.03,9.8,7646463389,45268117.86,17.76,4.62,5.53,2.43,0.91,8.68,6.12,22.18,51.53,184107759.7,11903159996,782254920.1
上海北特科技股份有限公司,2014,1.47,4.9,21525243.28,634446370.2,1.04,1.18,0.88,0.35,157949428.1,421359506.3,51.03,54383906.77,51439207.99,453661844.4,20714560.99,10.39,7.41,472798714.3,8.57,9.43,490552357.9,1944523.62,9.94,4.18,24.67,1.74,0.8,7.83,19.46,38.96,52.82,47974196.17,926460558.6,45429787.09
常州腾龙汽车零部件股份有限公司,2014,1.47,4.21,8417513.51,552441384.5,0.63,1.83,1.3,0.64,113913998.1,223558860.3,38.6,112981854.4,769438.61,356903745.4,3936953.38,0.22,25.02,224328298.9,20.45,21.7,356792925.1,3509599.05,25.78,3.54,3.43,3.4,1.03,21.08,23.18,17.15,68,32123139.46,581232044.3,91553492.5
扬州亚星客车股份有限公司,2014,0.92,1.5,23271208.03,1473146586,16.9,1.09,0.98,0.21,-303427095.5,1659772688,94.41,-144768833,384830000,121011863.5,20754355.29,89.52,-11.52,2044602688,-9.83,-6.22,1358849604,2811599.15,-321.79,7.33,35.7,3.81,0.74,-9.19,21.93,18.89,51,49782195.34,2165614552,-144768833
宁波双林汽车部件股份有限公司,2014,1.08,3.33,29303811.57,1497240270,0.91,1.14,0.82,0.4,88286475.24,1472756240,47.51,153599851.5,257688668.6,1911672958,26323566.06,11.98,2.85,1730444909,10.26,6.56,1093141737,7099872.56,7.03,2.93,6.29,1.1,0.55,10.05,24.18,97.59,49.65,301829176.8,3642117867,134717316.5
宁波继峰汽车零部件股份有限公司,2014,1.91,4.72,6004140.46,1017916608,0.36,2.05,1.41,0.43,140606213.2,280106178.6,26.6,241677514.8,4284748.21,784654053.6,2729344.2,0.55,44.43,284390926.8,23.74,25.72,626979717.5,10034227.86,25.81,3.87,3.2,2.44,1.07,26.44,35.63,28.56,57.8,61782127.14,1069044980,203979941.9
力帆实业(集团)股份有限公司,2014,1.12,6.17,416954142,11416748433,2.82,0.81,0.67,0.43,-368054156.1,13646828976,73.81,409864273,1736137156,5458577444,209523488,24.3,-1.02,15382966132,3.59,3.22,9372798386,166598476.5,7.14,4.4,,1.26,0.59,3.36,13.34,18.56,61.43,805808043.8,20841543576,377422295.6
浙江中马传动股份有限公司,2014,1.76,4.24,15644089.75,1049871989,0.85,1.34,0.86,0.27,173324927.2,415324379.3,46.01,194579513.3,46002260,541321580.8,15141049.35,7.83,10.78,461326639.3,18.53,19.53,736524222.7,4863497.99,29.42,3.74,7.88,2.2,0.98,18.44,10.54,-12.41,49.07,35468622.16,1002648220,159275807
江苏太平洋精锻科技股份有限公司,2014,1.45,4.94,11503971.42,627549555.9,0.35,1.28,0.87,0.33,130138919.9,347215805.6,25.77,149835077.1,62017871.79,1178640781,12019520.85,5,9.34,409233677.4,23.88,11.06,386859938.3,3204487.34,10.65,3.04,4.22,0.61,0.43,25.95,18.02,18.5,50.63,43896178.64,1587874458,125573088.3
云南西仪工业股份有限公司,2014,1,4.26,4412987.91,467843995.7,0.49,1.99,1.07,0.54,7084108.29,248253454.9,32.67,8447229.96,6300000,524663025.5,4900484.57,1.21,1.33,254553454.9,1.81,1.74,397263810.2,1970899.29,1.6,1.85,2.06,1.56,0.61,1.82,27.33,2.71,48.39,1225882.1,779216480.4,8254708.9
天津一汽夏利汽车股份有限公司,2014,1.87,68.69,125886396.3,3231643221,3.39,0.3,0.16,0.12,-1483743976,4615960373,77.22,-1650269871,638165806.5,1549557435,122158373.7,29.61,-11.01,5254126180,-51.07,-20.38,3685123768,77204788.35,-109.34,5.81,,0.56,0.43,-32.06,-42.54,-16.93,47.73,439353113.3,6803683615,-1657880387
科华控股股份有限公司,2014,1.55,3.28,20294859.35,505324723.2,2.01,0.81,0.55,0.12,27023209.52,431262430.8,66.78,69388502.54,48851498.58,238875555.5,13490237.31,16.98,1.94,480113929.4,13.73,12.91,332316559.5,2950472.44,24.99,3.74,,1.6,0.79,13.97,36.52,28.25,59.2,57392173.18,718989484.8,59695450.75
浙江万丰奥威汽轮股份有限公司,2014,2.38,5.71,52901229.74,5535128066,1.1,1.29,1.08,0.47,842477879.9,1951484956,52.44,613581866.5,703053440.9,2407598289,39495446.64,26.43,17.95,2654538397,11.09,14.08,4260797253,23994911.45,22.23,11.21,9.28,2.39,1.19,10.86,21.59,20.17,53.38,679290036,5062136686,529524859.5
宁波均胜电子股份有限公司,2014,2.71,7.65,62931034.86,7077091078,1.53,1.06,0.73,0.25,737519428.8,2621769713,60.54,458706320.7,1167464484,2469970094,60945537.58,32.54,10.89,3789234197,6.48,8.66,5692346642,10072569.82,14.33,6.61,55.34,2.09,1.18,5.27,15.95,8.93,60.4,635170865.3,6259204291,349600735.8
山东隆基机械股份有限公司,2014,1,4.36,28983266.45,1238033575,0.66,1.42,0.76,0.37,171506457,868783222.7,39.8,53922110.33,50000000,1389515021,28326153.1,3.68,5.28,918783222.7,4.36,3.61,1016127406,6796964.44,3.47,1.75,3.59,1.19,0.54,3.75,9.35,1.55,45.18,61394522.06,2308298244,44457249.23
上海加冷松芝汽车空调股份有限公司,2014,0.92,3.39,3424475.52,2527246232,0.53,2.37,1.99,1.17,225187200.1,1191058904,34.47,358089810.6,100457059.1,2454921120,1251650.65,4.16,55.41,1291515963,14.17,10.14,1741278663,12006914.19,11.93,4.4,1.53,3.13,0.71,13.91,28.41,12.18,50.1,167576999.8,3746437083,301244172.8
常州星宇车灯股份有限公司,2014,0.95,6.55,-4490475.79,2016023653,0.58,2.09,1.63,0.48,385926433.6,1100874847,36.84,315779627.6,63472020.69,1996288247,-5965282.45,3.1,173.74,1164346868,15.66,10.32,1531255565,8651887.09,13.73,3.53,1.81,2.3,0.67,15.61,23.51,11.11,43.34,136911909.5,3160635115,272407190.1
宁波高发汽车控制系统股份有限公司,2014,1.56,6.16,3326053.47,579370199.4,0.64,1.94,1.6,1.03,51839223.97,217346060.5,39.19,111936982.4,615333.17,338139447,2988252.05,0.18,14.84,217961393.7,19.32,22.83,399167680.7,4232756.93,28.37,5.75,3.36,4.36,1.15,20.72,29.34,23.45,58.33,23270160.92,556100840.7,95920470.79
爱柯迪股份有限公司,2014,1.48,5.23,5108059.89,1297508486,0.56,2.88,2.23,0.65,350599715.5,314831339.2,36.1,414684713.8,273182938.4,1040883430,832120.78,23.14,114.18,588014277.7,31.96,26.95,759063861.1,12594636.51,28.14,3.97,2.22,1.96,0.84,34.4,15.97,12,,65684184.15,1628897707,310760117.6
厦门日上集团股份有限公司,2014,0.77,4.53,50700790.85,1341928221,1.32,1.29,0.57,0.15,12253864.91,1472557716,56.95,50886547.97,137432847.5,1217023981,43080092.43,10.15,0.24,1609990563,3.79,3.48,1112409222,3136701.27,3.25,1.13,2.68,1.4,0.5,3.08,9.14,10.13,46.19,127514174.8,2827014545,39518210.61
